,company,department,employee_id,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,full_time,part_time,contractor
40,Glasses,AI,1,30,26,3,125833.25812660529,20269.54581377855,4,0.6342636431074531,0.22394248085653568,0.14078939574262078
41,Cheerper,Search Engine,23,34,24,9,79569.9791674894,13923.194379411061,3,0.3583003210820342,0.8560844050179583,0.0
42,Glasses,Search Engine,1,30,29,2,93265.04393965426,24792.91,2,0.08029075204137154,0.30875948539432596,0.6113254307300984
43,Cheerper,BigData,7,41,37,4,95463.68056814294,18854.908253787926,2,0.0,0.6307364537503808,0.4133132963847662
44,Glasses,AI,36,44,41,4,99278.1371525309,18677.43715149009,2,0.5718454400768456,0.27976820700776567,0.14893250226544114
45,Glasses,Design,49,46,43,4,66945.91375431523,22358.01358443724,1,0.0,0.31596131989424997,0.8733844577775416
46,Glasses,BigData,41,30,24,5,40000.0,23314.23138860186,2,0.0,0.6349498920410819,0.8579719353764153
47,Glasses,AI,1,30,22,8,110570.71208376947,22093.52198539291,1,0.39235551273311425,0.055869654861096185,0.5522224439548997
48,Cheerper,BigData,6,30,22,5,88731.54539046138,24792.91,2,0.01442617949279601,0.8150811927503004,0.17079975573956696
49,Glasses,AI,8,45,38,7,99422.48137731235,17636.98236375892,2,0.25933728467282646,0.2954346022087651,0.44536830924413784
50,Cheerper,Support,1,38,32,6,104722.89729885988,15127.346985017335,3,0.43676834188309477,0.5625075619550255,0.0007409728626640022
51,Cheerper,AI,41,30,22,9,92883.28914128247,18571.36743034455,2,0.8665756390900774,0.8246340048813183,0.0
52,Glasses,Design,1,30,24,5,143174.70480817105,24792.91,1,0.8262537830314164,0.2588532472973353,0.0
53,Cheerper,Search Engine,28,30,23,7,81701.16203155747,20680.572807586672,3,0.7703450914822396,0.41755074027510064,0.0
54,Glasses,AI,15,44,42,2,124574.59616907207,21292.3253167426,1,0.5050642739421178,0.37576476677381654,0.11948389498147566
55,Glasses,BigData,10,31,27,5,70511.2891949609,24711.81562985047,1,0.0,0.8427624415560651,0.4756778386301195
56,Glasses,Search Engine,21,30,24,6,85925.9061212308,19284.87186081854,2,0.44723542876663436,0.28677257845277965,0.2661803624327926
57,Glasses,Design,1,30,22,8,90114.4496371989,18108.013382608726,2,0.6721401927356296,0.0,0.46470387199521135
58,Pear,Sales,4,38,33,6,83250.19474184747,16171.567469204816,3,0.4439596444746624,0.0,1.0
59,Pear,Sales,27,41,39,2,113894.28632205802,24792.91,1,0.7006944422977079,0.0,0.9857044172629388
60,Glasses,AI,61,30,26,4,65175.27416372592,9000.0,5,0.593298785242304,0.0,0.42337118520132544
61,Cheerper,Support,36,35,27,8,54272.33764204208,17672.841887695828,2,0.0,1.0,0.0
62,Glasses,AI,26,35,28,8,96180.03003437555,21368.78680845911,2,0.6146986014267607,0.4910247670056962,0.0
63,Glasses,AI,56,47,43,4,72063.16185221895,16080.357124716847,3,0.37668865567970744,0.2215158724393162,0.4020026289769091
64,Cheerper,Support,80,35,25,9,40000.0,9000.0,4,0.14476179133340947,1.0,0.0
65,Glasses,Search Engine,31,35,30,6,109050.67663298504,9000.0,5,1.0,0.34823370469943593,0.0
66,Cheerper,BigData,46,43,35,7,54285.08755946533,17816.505123310148,2,0.0,0.8402395812487768,0.3966705158411965
67,Glasses,AI,19,34,31,3,108545.7946115972,24470.90042194161,2,0.5492347086604398,0.351859357265756,0.09904908169627546
68,Cheerper,Search Engine,1,32,22,9,87123.77857903835,14463.213421843395,3,0.4230148872559084,0.7676453516304895,0.0
69,Pear,Design,30,46,40,6,107958.93397352842,19917.73563417233,2,0.7087197994085841,0.0,0.36020963532203165
70,Pear,AI,46,32,29,3,49619.96213615163,13928.654473130719,4,0.26762946188901293,0.033691129642823836,0.6990814565308859
71,Cheerper,Support,76,49,48,2,40000.0,23904.649903078927,2,0.0,0.8244361319806122,0.8962401915527987
72,Cheerper,Support,4,30,22,8,67869.00681284952,24792.91,1,0.0,0.9559942060394373,0.18707679358486642
73,Cheerper,Support,51,31,28,3,40000.0,11442.716914361274,4,0.0,0.46648903608255393,1.0
74,Glasses,Search Engine,29,37,32,5,100042.55278903294,24792.91,2,0.4756903097637691,0.870945851469207,0.0
75,Pear,Sales,45,44,45,1,108660.4719294681,13740.781682271272,3,0.47680890364325257,0.0,0.8691224283340848
76,Cheerper,BigData,28,37,29,8,40000.0,20436.498365374522,1,0.0,0.6355210693958266,1.0
77,Glasses,Search Engine,1,31,23,8,106224.57241085795,24718.740104657125,1,0.10399863604834486,0.39147205582242983,0.504585139257979
78,Cheerper,BigData,16,37,30,8,88315.5071623847,14716.863951725772,3,0.28984413637518575,0.7334706849596841,0.0
79,Glasses,AI,11,33,30,3,91692.10916138365,21471.59320114999,2,0.0,0.4897449589370809,0.6265478510563632
80,Cheerper,Support,21,46,37,9,83395.08536837802,16596.98786921701,2,0.12960540254579667,1.0,0.0
81,Glasses,Search Engine,30,45,39,6,80287.19113700808,18719.92324137858,2,0.20271092498444662,0.42993660218478974,0.3673436975632912
82,Cheerper,Support,1,34,27,7,94372.99710374452,24589.344084145807,1,0.24724707555994996,0.7703650301533809,0.0
83,Glasses,Search Engine,1,46,43,3,126732.7596746867,18099.338173256318,2,0.2694419554754126,0.3540763435886341,0.3760163910932317
84,Glasses,AI,36,38,34,5,89259.27102423756,22863.830397686834,2,0.5240703148663438,0.0374136952881296,0.4384651166257297
85,Glasses,AI,70,38,41,1,69909.0433094867,16393.496280071726,4,0.15196819017765345,0.006413830591049052,0.8413698454463396
86,Pear,Design,63,45,42,3,53854.849600295274,16312.803707508676,3,0.272896431387715,0.0,1.0
87,Pear,Design,35,40,43,1,125982.20300352464,10783.779788891205,4,0.7409685542545955,0.0,0.41510790805266073
88,Glasses,Search Engine,67,37,38,1,72323.51261833859,15555.968384586997,5,0.5348465053428049,0.11356143817522463,0.3517228891956812
89,Pear,Sales,22,44,40,4,89256.7339485618,24792.91,1,0.20128841700833147,0.0,1.0
90,Cheerper,BigData,30,36,26,9,63082.79955212339,15230.41022331278,3,0.3404694854291096,0.5117091275413362,0.14801710944299187
91,Cheerper,BigData,20,47,46,1,107702.40934129508,12950.434010443198,3,0.3116949945702209,0.29165693015407707,0.3967022030007658
92,Cheerper,Support,80,30,22,9,40000.0,13228.915791459174,4,0.050363106896739174,1.0,0.0
93,Cheerper,Support,11,31,22,9,58791.48418190392,19103.180770062736,3,0.13870196181074668,0.8038566071975056,0.0573893044751384
94,Pear,Design,46,42,46,1,115849.85275848527,22771.198888483137,2,0.47018703495363146,0.01896424849165096,0.5106083834910712
95,Cheerper,BigData,1,38,27,9,81985.45503875714,13234.425559093277,1,0.07275088179075301,1.0,0.0
96,Cheerper,Support,32,30,22,8,64401.31043674169,24792.91,3,0.23808310891695955,1.0,0.0
97,Glasses,Search Engine,23,30,25,3,83281.7994461668,22011.54992856687,3,0.42656003208892107,0.2671408617726304,0.3065546937272901
98,Pear,Design,12,39,37,2,128263.10888477563,15712.240183516724,3,0.8336904836102712,0.0,0.40194714176813695
99,Pear,Sales,38,47,42,5,116901.88167246393,16349.895149651893,3,1.0,0.0,0.24363910086629326
100,Pear,Sales,45,32,28,4,52767.48076173177,24792.91,1,0.0886474303966801,0.0,1.0
101,Cheerper,BigData,5,35,29,6,77884.99493396391,14744.601590939812,4,0.11590157913645585,0.16963582356066248,0.7144072574557152
102,Glasses,AI,40,46,45,1,122757.91148584688,14999.448949638278,4,0.8175472711003194,0.11202565158743316,0.07022765068013742
103,Glasses,Design,48,37,34,3,88090.3625448049,18696.07197351609,2,0.4945069887896709,0.29413322535221653,0.21144971652343136
104,Cheerper,BigData,34,44,38,6,82863.03796333126,16857.28275028616,2,0.28574227509397865,0.9084109869912909,0.0
105,Cheerper,BigData,22,42,36,6,79480.58087816395,24792.91,1,0.0,0.8613080580071446,0.15495469209313564
106,Pear,AI,8,31,27,4,74989.03586299553,24047.607128931977,1,0.1784085387219155,0.14025398380257245,0.6810847427420634
107,Glasses,Search Engine,28,39,30,8,61995.145711743535,18141.880767711224,2,0.0,0.4096090177885671,0.6448925550524636
108,Pear,Design,72,45,42,3,46355.421256639944,15424.618633507851,2,0.0,0.0,1.0
109,Pear,Sales,63,47,46,2,94987.44609286485,18295.862607558935,2,0.7286367255775097,0.0,0.8876135205513074
110,Glasses,Search Engine,52,38,39,1,40000.0,16295.187500287733,4,0.0,0.0,1.0
111,Glasses,AI,35,36,31,5,83083.13053942042,10806.451821244216,4,0.5875131959507198,0.05464811148712995,0.3579395903443998
112,Glasses,AI,6,30,26,4,118386.73863055487,22937.66090843875,3,0.8267814634693773,0.18718864586196468,0.0
113,Pear,Design,20,41,40,1,115033.53180214348,19230.312493798137,3,0.7283814111512672,0.0,0.401431201992133
114,Pear,Design,52,36,35,1,88028.29872869274,16946.429778778343,3,0.3808384707664929,0.0,0.7489952057980633
115,Glasses,Design,6,39,34,5,104176.47617033256,20691.272083369888,1,0.295067998997144,0.023550090648936317,0.681331565671217
116,Glasses,Search Engine,9,30,22,8,101312.0445739964,19295.47670082676,3,0.9093892960369954,0.5143234593982867,0.0
117,Glasses,AI,57,40,41,1,73130.1914132948,17463.722566987966,3,0.0,0.2702430441124967,0.7459804408076448
118,Cheerper,Support,49,35,34,2,76193.75466709792,17302.95275168213,5,0.2988811029528251,1.0,0.0
119,Glasses,Search Engine,80,49,48,2,46321.27212249114,22585.606950203815,1,0.0,0.6848062429900428,0.7167395573467749
120,Cheerper,AI,1,40,31,9,148934.5868863676,22207.125090432353,1,1.0,0.7118897968656583,0.0
121,Cheerper,Support,25,41,34,7,63755.95035347491,20349.524624698035,1,0.0,0.9901421108604054,0.19445280084982286
122,Glasses,Search Engine,51,39,32,7,66503.68219727444,9892.236278551523,5,0.5956442621937732,0.6453029161967286,0.0
123,Pear,Design,1,31,22,8,125567.10671314406,21018.212874662386,2,0.9934319280931283,0.0,0.1618848534998463
124,Pear,Design,39,49,48,1,114783.6985016603,24598.393138891486,1,0.6790431634465708,0.0,0.5119118971375431
125,Cheerper,BigData,37,49,48,1,87379.25337603394,17385.10911939411,2,0.0003089221650666718,0.2114147676481291,0.7883592363692365
126,Glasses,BigData,69,48,48,1,69363.73608504931,9000.0,5,0.13284200154683326,0.2600280662765547,0.6077031612095318
127,Cheerper,Support,70,38,37,1,40000.0,21440.71476078376,3,0.0,0.6881223370597855,0.7739074389448886
128,Glasses,Search Engine,1,30,22,9,90279.28895042915,12051.836178167105,4,0.6474874931068304,0.47386945158376736,0.0
129,Glasses,Design,25,31,22,9,89853.59036781928,20998.67080098508,1,0.8120882594686796,0.5166531792931516,0.0
130,Glasses,Design,35,35,26,9,96590.35959448169,14872.40992640443,4,1.0,0.16501854202539187,0.0
131,Cheerper,BigData,18,30,22,9,48692.06956322028,20561.19220783277,2,0.0,1.0,0.0
132,Cheerper,Search Engine,1,33,26,7,108144.32574364723,23062.358938485384,2,0.2445853882527944,0.6682927442834575,0.08739634141651487
133,Glasses,AI,32,42,44,1,97880.06191876833,24792.91,2,0.0,0.37754712361846027,0.7922716879252496
134,Cheerper,Support,27,32,26,6,52049.622830566645,17338.552546910516,4,0.0,0.9176889478813293,0.15914296778526776
135,Glasses,AI,7,38,33,5,79103.84526483648,20788.312605004798,2,0.0,0.256127768863574,0.8639105700523468
136,Glasses,BigData,37,34,30,4,75574.390290526,23809.626389542016,3,0.45780429482401713,0.470028979336176,0.07214019012290979
137,Glasses,AI,27,49,48,1,124974.81378379751,23699.701470521388,1,0.04586196860116487,0.118941800406209,0.8354257275982344
138,Pear,Sales,55,41,37,4,100690.59174366796,24792.91,1,0.6304747436448543,0.3479724829145394,0.0220127829287583
139,Glasses,Search Engine,42,32,27,6,58747.21423089444,22170.11874397344,1,0.0,0.8105574449104667,0.2708535404505095
140,Glasses,Search Engine,55,35,31,4,42584.4532301564,12983.334601825336,5,0.42765680455611277,0.0,0.8182068625762973
141,Pear,Design,21,30,24,5,73987.82330499672,22171.0120352624,2,0.25897033532716474,0.09312151562651849,0.6477569113468664
142,Glasses,Search Engine,1,30,22,6,95776.3996567459,24792.91,1,0.2412059562909571,0.16138623374094102,0.5972410287525614
143,Pear,Sales,46,41,43,1,114098.73842635978,17456.932000284927,3,0.8809681991938667,0.0,0.876070466567695
144,Glasses,AI,46,49,48,2,96508.69389465053,11903.165398397634,4,0.3912765970669748,0.184752595670563,0.42362561372485674
145,Glasses,Search Engine,43,41,40,1,86820.34560456166,14420.767957218868,4,0.406669708188294,0.07362149886787217,0.5200899514978007
146,Glasses,Search Engine,40,44,41,2,54455.716395605654,17959.278345412793,3,0.0,0.0,1.0
147,Pear,Sales,1,30,22,9,141689.02741686045,24792.91,1,0.9493530706730706,0.19943450765907225,0.0
148,Glasses,AI,13,31,26,5,66261.45404311184,24392.22048373558,1,0.0,0.22394891785030052,0.8506810221586445
149,Cheerper,BigData,1,33,30,3,96427.10833426836,15078.35445904587,4,0.14136304237255648,0.43169334635377005,0.4266173086603372
150,Glasses,Design,17,42,34,8,107975.59553102676,17306.107231109938,2,0.7658249532008734,0.08890276249627493,0.1451139782874747
151,Glasses,AI,38,31,25,6,100850.95985934303,22282.21313327311,3,0.985326610319486,0.5427007408258177,0.0
152,Pear,Sales,50,32,26,6,55948.0958720465,24792.91,1,0.021203760108211955,0.15020744692118665,0.8285699854161926
153,Glasses,BigData,20,35,30,5,61676.07759452525,21320.561059432926,2,0.0,0.8048361567024822,0.36006082751018215
154,Pear,Design,25,36,35,1,109606.8975060358,24382.799891730392,2,0.3917102044431358,0.0,0.7184420998672272
155,Glasses,Search Engine,38,37,31,6,79060.3593610594,17827.39012199316,3,0.3279981388879655,0.6088158053204953,0.06338275172927965
156,Glasses,AI,53,35,29,6,68514.62908696718,17617.727831421456,1,0.11667929563200627,0.5466934719654644,0.3367637604054824
157,Glasses,Search Engine,56,40,38,3,59134.42023761952,17869.825651557778,2,0.03700639129643335,0.40802533369010946,0.5551205613309558
158,Pear,Design,1,36,30,6,103238.17451204412,23587.400072245742,1,0.3297142844641868,0.0,0.7826596441122455
159,Cheerper,Search Engine,31,39,28,9,94420.39627569703,21753.466614093537,1,0.38778041680016656,1.0,0.0
160,Glasses,Search Engine,42,42,42,1,91128.61962863138,21878.674106968472,3,0.06400508836838009,0.22281558153255077,0.712632095745311
161,Glasses,Search Engine,38,40,38,2,54495.63500159651,15697.38245480903,3,0.0,0.23454760662681545,1.0
162,Glasses,Search Engine,74,49,48,1,72357.11452982378,9010.376634756198,4,0.0,0.20059821853845558,0.8812015322229707
163,Cheerper,BigData,1,35,28,6,99907.41885237375,14064.086429933148,3,0.39932069441970525,0.681129500885326,0.0
164,Glasses,AI,1,30,22,6,129076.77064539364,20071.697136872666,2,0.7282826267244067,0.2757688529880748,0.0
165,Pear,Design,80,47,48,1,71013.69712198975,12128.439491807798,4,0.43293691085121033,0.0,0.8239554289363382
166,Cheerper,BigData,78,43,39,4,40000.0,12430.440157737397,4,0.0,0.7426169144499251,0.2880466399440399
167,Glasses,Support,50,37,39,1,40000.0,24792.91,3,0.0,0.3770246740221188,1.0
168,Glasses,AI,19,49,44,5,82294.74584180792,18188.11554974308,1,0.15951016491267217,0.21963419483084928,0.6210569254797305
169,Cheerper,BigData,38,43,39,5,80986.78527817788,12403.725739366228,4,0.33847603405885807,0.4274728827111438,0.23400144159854802
170,Glasses,AI,1,30,22,8,110488.25936019355,24173.193641635502,1,0.41166534728146786,0.50082374212692,0.08783889343560844
171,Glasses,AI,30,38,32,6,89942.60825989158,16073.637244012318,2,0.5116608467580652,0.2537836300909442,0.2346440065715319
172,Pear,Design,80,40,35,5,40000.0,11252.22153996956,5,0.3499103181298744,0.0,0.778279002443777
173,Cheerper,Support,50,44,36,7,48427.24624924027,18791.005796375925,3,0.0,1.0,0.14992663699647218
174,Cheerper,Support,17,34,25,9,88848.37715906267,11186.919166829946,5,0.4591879104250052,1.0,0.0
175,Cheerper,Search Engine,22,38,27,9,75301.57106466677,16056.18821270261,2,0.19948646620116983,0.5782090101958209,0.2228664317224032
176,Cheerper,BigData,49,30,24,7,42309.606460200506,17506.936093522156,3,0.0,0.4027630175105371,0.6486372539335392
177,Cheerper,Support,25,32,28,4,74356.23424937669,17685.385692397664,3,0.0,1.0,0.0
178,Glasses,AI,52,46,43,3,57541.07873953641,16570.86918980378,2,0.0,0.34229255714248646,0.7191115819635008
179,Cheerper,BigData,1,33,26,7,89072.31691663462,18206.0421455084,2,0.022564744983232632,0.7033218690976182,0.2739618344135873
180,Glasses,AI,41,31,26,5,74476.73273601374,21895.60812571054,1,0.15526715093572985,0.23257474048049975,0.6118141863848372
181,Pear,Design,1,34,28,6,114491.97988443138,24792.91,1,0.4670761786207097,0.0,0.6121052793022222
182,Glasses,Design,35,33,26,8,119921.23971309871,21602.22470070802,2,1.0,0.5712432154076774,0.0
183,Glasses,Search Engine,43,41,40,1,92757.94805147004,13430.67672026744,4,0.4888970701370585,0.3619730897257847,0.1490761384179945
184,Pear,Sales,54,38,33,5,76778.93632983867,20208.187928850784,1,0.2623418949008223,0.16092594862312143,0.5764232545342027
185,Pear,Sales,28,49,48,1,128884.96597883,15568.758236841066,3,0.6601238327556606,0.0,0.8298240150520648
186,Cheerper,BigData,21,30,22,6,51335.59718413271,19387.706269599475,2,0.0,0.8003155035949894,0.45025755924957195
187,Glasses,Search Engine,40,35,32,3,68270.20345168216,21260.574066498717,3,0.13528791652663372,0.5419218110452622,0.32242378415294815
188,Glasses,AI,46,39,35,4,106770.49515647355,22085.61600767142,1,0.5724077899446389,0.8455839456696099,0.0
189,Glasses,AI,62,30,22,7,49572.75893118654,22786.031051091722,3,0.4018249602367543,0.5384104648119573,0.06004382400056901
190,Glasses,AI,36,42,38,3,94201.00486768,16249.191676850984,3,0.8397662611857188,0.0,0.43005643732943744
191,Cheerper,BigData,26,42,39,3,61371.247622081675,19613.406994210927,2,0.0,0.46184360110654665,0.9063194593246029
192,Cheerper,Support,19,49,41,8,68914.4488907833,10372.207412339816,2,0.0,1.0,0.3176869101543304
193,Glasses,BigData,80,38,37,1,40000.0,22264.599551700056,3,0.0,0.5635150124346751,0.48319907211299634
194,Cheerper,Support,50,36,30,5,40000.0,9000.0,5,0.0,0.8958808326187104,0.3139958769200185
195,Glasses,Search Engine,1,38,35,3,146775.82204169844,17785.71274331143,5,0.9265017129549435,0.01236137116898478,0.06101393838588781
196,Glasses,Design,67,49,48,1,106727.21979811764,15269.83964452838,4,0.921431388712987,0.0,0.528885397664112
197,Cheerper,Support,49,33,28,5,40000.0,23990.371667907675,2,0.0,1.0,0.3290981226400623
198,Glasses,AI,43,34,32,2,101044.57331095058,18105.847162963386,3,0.4091342158621575,0.4929693901365919,0.09812218427914482
199,Pear,Sales,42,49,48,2,130611.49736837088,15424.001749799556,2,1.0,0.0,0.30490595167283
200,Cheerper,Search Engine,8,43,32,9,100092.01017360116,24792.91,1,0.2599814165560308,0.9473420495530127,0.0
201,Glasses,Search Engine,1,30,22,4,84419.27524203382,21444.04044943661,2,0.0,0.3707926036505993,0.6475728784853669
202,Cheerper,BigData,8,43,32,9,102554.80460303236,17775.285474296925,2,0.4424517741371175,1.0,0.0
203,Cheerper,Support,80,39,39,1,40000.0,14324.665085634826,5,0.0,0.864841719400028,0.3199335497420721
204,Cheerper,Support,70,49,48,1,68496.65485168372,14138.489629665291,4,0.2744335187295821,0.22442140443529468,0.5008840371229957
205,Glasses,AI,38,40,38,3,87552.90585395244,22873.140105301456,1,0.2951148664436823,0.28968551312819574,0.41536394541047084
206,Cheerper,Support,30,43,35,8,64360.16718352458,9693.439743547995,3,0.002308407320017969,0.8199412285531034,0.17798942326256997
207,Cheerper,Search Engine,19,40,35,5,111140.85192998065,12138.906883336178,4,0.8637596407531392,0.48615790506261963,0.0
208,Pear,Sales,25,34,27,7,86173.08482085024,16141.51788253272,1,0.38192460648357573,0.35194617451161764,0.26549953025724277
209,Glasses,Design,28,41,35,7,98698.92070794968,18448.41378649316,1,0.29108115485802133,0.6851158545501888,0.023765194267300394
210,Glasses,Search Engine,12,33,31,2,115869.15866165687,13520.960115444941,5,0.7410247661159843,0.08536898853195746,0.1739331883692572
211,Glasses,Search Engine,58,35,28,7,40000.0,11023.281208506847,3,0.005956066716661712,0.34898926176816325,0.645187123246754
212,Cheerper,Support,1,30,22,8,79245.00614118617,20823.563113011736,3,0.04133768006920868,0.9640568886644467,0.0
213,Glasses,AI,1,40,33,7,107027.5837318266,22826.063850645744,1,0.4462394411160572,0.35249790057179403,0.20074191788369694
214,Pear,Design,39,38,33,5,73548.37510213147,11975.68823601379,4,0.5596303026281167,0.0,0.6478972341296563
215,Cheerper,Support,56,35,25,9,79483.2511988432,9000.0,5,0.8622506971569641,1.0,0.0
216,Glasses,Search Engine,79,43,39,4,48283.76307582934,16460.675018681908,3,0.18013388435859395,0.4188137635893592,0.4007402689943018
217,Glasses,AI,40,35,32,4,110507.19840319786,16960.413358631373,4,1.0,0.0673024394705079,0.0
218,Glasses,AI,38,40,37,3,121560.1158914006,24445.358127341697,2,0.9377347482898104,0.3604898700005048,0.0
219,Glasses,Design,44,38,35,3,112654.31624119228,19937.277208931137,2,0.8782479623956936,0.31507379846797556,0.0
220,Pear,Sales,1,36,30,5,130285.92439989452,12607.319284154286,3,1.0,0.0,0.6517304948830227
221,Pear,Sales,40,47,47,1,109270.34415692074,23788.819885244357,1,0.6184849332104243,0.0,0.7169787774381325
222,Pear,Sales,1,35,32,2,128278.07171145931,23988.389289331855,1,0.5432104152651971,0.0,1.0
223,Glasses,AI,24,34,27,6,101686.55145097028,18823.537534486848,3,0.6772713234829366,0.580031291641611,0.0
224,Glasses,AI,49,30,23,5,48968.90635691013,24792.91,1,0.13679646821958333,0.3691110781606375,0.49460540501134115
225,Glasses,AI,4,37,29,8,100670.44790266991,24792.91,1,0.5040996019113485,0.23992729119801132,0.25622863778338667
226,Glasses,AI,40,49,47,4,136789.4666593154,20529.49710322268,1,0.7819114411744257,0.5621193000119356,0.0
227,Glasses,Search Engine,17,36,32,4,66655.43451260484,22385.850877001838,1,0.0,0.4101628761004139,0.8128729890085169
228,Cheerper,Support,76,46,46,1,40000.0,13656.836162169096,4,0.0,0.5483980665992689,0.9821304775993454
229,Cheerper,Support,1,30,22,8,88787.988172959,14744.550380953056,4,0.48719698600945177,0.49186068971258273,0.020594547805274754
230,Pear,Sales,22,42,35,7,104514.81591769872,14886.598316085723,1,0.6635477176456743,0.24508855758887016,0.09075817698843905
231,Glasses,AI,6,32,26,6,100692.21221102074,24792.91,1,0.4866982861710968,0.12199037412590119,0.3918029821381226
232,Glasses,Design,8,30,22,7,95221.89768653995,21189.804848829226,2,0.7744904985280243,0.0,0.23866233261391417
233,Pear,Sales,65,42,45,1,78242.26408134986,16577.60896446025,3,0.06154154272047618,0.0,1.0
234,Pear,Sales,26,49,48,1,126278.42607980958,16116.141395149583,3,0.895526543297051,0.0,0.5834320789007268
235,Pear,Sales,47,43,40,3,94851.4964367382,14169.873869443014,3,0.8205574372401624,0.0,0.47558884202390656
